num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
1851	2925.927697	68.944002	-3.194261	1.482126	28.504796
1853	2927.976808	67.673944	-3.410404	1.492102	28.951256
1857	2932.108978	66.812914	-3.489400	1.461322	26.888032
1859	2934.171547	67.300752	-3.467085	1.457094	27.107369
1861	2936.227362	67.693774	-3.440641	1.459228	28.101188
1863	2938.278556	67.703078	-3.463859	1.463523	28.542597
1867	2942.379416	67.476326	-3.518317	1.470129	27.158732
1869	2944.432599	67.383340	-3.521169	1.470045	29.096596
1871	2946.487547	67.162117	-3.535860	1.467898	28.430728
1873	2948.544116	66.971349	-3.548326	1.465392	28.526418
1877	2952.661805	64.386186	-12.347492	1.307850	27.308224
1879	2954.708026	62.437995	-31.749467	1.266923	7.305824
1881	2956.770640	62.166265	-31.759699	1.273357	6.065682
1883	2958.830065	62.186193	-31.725437	1.279098	6.242858
1887	2962.951728	62.618437	-31.767936	1.272284	6.007724
1889	2964.999650	25.516691	-43.305821	0.539921	4.720385
1891	2966.318392	67.612843	-5.097314	1.546741	29.840211
1893	2968.379581	67.115262	-8.279033	1.524868	25.893456
1897	2972.470003	68.563765	-14.270010	1.578543	23.217398
1899	2974.526478	68.533035	-14.254935	1.577723	21.337836
1901	2976.581581	68.441781	-14.244829	1.576957	21.901843
1903	2978.637907	68.324874	-14.217610	1.575753	21.963895
1905	2980.693586	68.279309	-14.220951	1.574630	21.091126
1909	2984.806111	68.085497	-14.153651	1.571794	23.021305
1911	2986.861003	68.061198	-14.139436	1.570091	22.573952
1913	2988.916072	67.966860	-14.114887	1.567898	23.564491
1915	2990.970398	67.936346	-14.114801	1.565510	21.364135
1919	2995.072499	67.837860	-14.104735	1.558919	21.779537
1921	2997.122277	67.788384	-14.145816	1.553693	22.038084
1923	2999.175564	67.601729	-14.151405	1.547993	22.443155
1925	3001.232133	67.263823	-14.092100	1.543118	23.204696
1927	3003.293197	66.850492	-14.042400	1.543066	24.223432
1929	3005.355902	66.618197	-14.039818	1.547198	25.553661
1931	3007.418071	66.532853	-14.028944	1.550301	25.206803
1933	3009.477932	66.630024	-14.036017	1.550201	23.268898
1935	3011.536425	66.670781	-14.024334	1.547446	24.325023
1937	3013.593005	66.699400	-14.018178	1.543742	24.634317
1939	3015.647660	66.658793	-14.010693	1.539814	24.050261
1943	3019.752537	66.825059	-13.961821	1.536968	24.334566
1945	3021.802035	66.857261	-13.901925	1.539345	24.260084
1947	3023.852463	66.688449	-13.873096	1.543483	23.903626
1949	3025.904770	66.331964	-13.801391	1.545372	22.781754
1951	3027.961445	65.974996	-13.822247	1.543016	21.691426
1953	3030.022171	65.671747	-13.810561	1.537275	21.192067
1955	3032.083174	65.556404	-13.763200	1.532274	19.984643
1957	3034.142998	65.572105	-13.753059	1.528350	20.490555
1959	3036.201655	65.572235	-13.726448	1.525909	20.328721
1961	3038.258945	65.552126	-13.709216	1.524194	19.841957
1963	3040.314340	65.539645	-13.692774	1.522906	19.787051
1965	3042.369301	65.522162	-13.706569	1.521251	19.774803
1969	3046.474351	65.464404	-13.701408	1.515641	19.930445
1971	3048.526676	65.481924	-13.751160	1.511823	20.884804
1973	3050.580020	65.352598	-13.756824	1.506337	21.087248
1975	3052.636809	65.073263	-13.728888	1.501805	22.557131
1977	3054.696653	64.691140	-13.685817	1.500571	22.345022
