time (s)	det(V)
3651.285668	0.215583	
3651.287671	0.223227	
3651.289669	0.229863	
3651.291668	0.233738	
3651.293668	0.237396	
3651.295668	0.239493	
3651.297669	0.246143	
3651.299668	0.244688	
3651.301668	0.247571	
3651.303669	0.255818	
3651.307668	0.259341	
3651.309668	0.274559	
3651.311668	0.277418	
3651.313668	0.284374	
3651.315668	0.288655	
3651.319667	0.295768	
3651.321668	0.303814	
3651.323668	0.310416	
3651.327669	0.316277	
3651.329668	0.335421	
3651.331668	0.343253	
3651.333668	0.349285	
3651.335668	0.359138	
3651.337668	0.368136	
3651.341668	0.370066	
3651.345669	0.381975	
3651.347668	0.397647	
3651.349667	0.405884	
3651.351667	0.414442	
3651.353667	0.425023	
3651.357667	0.432723	
3651.359667	0.442737	
3651.361667	0.445767	
3651.365668	0.456273	
3651.367668	0.478278	
3651.369668	0.495017	
3651.371668	0.500651	
3651.373668	0.508490	
3651.375669	0.518155	
3651.379667	0.518100	
3651.383668	0.533855	
3651.385669	0.557489	
3651.387670	0.566226	
3651.389668	0.573780	
3651.391668	0.580800	
3651.395668	0.589536	
3651.397668	0.595303	
3651.399668	0.600700	
3651.401668	0.608418	
3651.403668	0.623731	
3651.405668	0.629475	
3651.407668	0.638392	
3651.409668	0.643091	
3651.411668	0.644122	
3651.413668	0.655156	
3651.415667	0.654178	
3651.417668	0.657973	
3651.419667	0.670219	
3651.423669	0.670551	
3651.425668	0.687856	
3651.427668	0.689997	
3651.429667	0.695845	
3651.431668	0.697938	
3651.435667	0.704016	
3651.437669	0.705377	
3651.439668	0.706396	
3651.443668	0.708360	
3651.445668	0.713966	
3651.447667	0.715750	
3651.449668	0.714492	
3651.451668	0.714547	
3651.453668	0.717330	
3651.457668	0.709648	
3651.461668	0.701186	
3651.463669	0.696869	
3651.465667	0.692880	
3651.467668	0.685169	
3651.469668	0.685695	
3651.473667	0.677399	
3651.475668	0.655702	
3651.477667	0.641962	
3651.481668	0.635835	
3651.483668	0.622579	
3651.485668	0.615053	
3651.487668	0.604509	
3651.489668	0.594175	
3651.491667	0.581169	
3651.495668	0.563193	
3651.499668	0.533861	
3651.501671	0.511368	
3651.503668	0.503482	
3651.505667	0.486619	
3651.507667	0.469952	
3651.511667	0.455484	
3651.513668	0.416663	
3651.515668	0.400365	
3651.517668	0.387869	
3651.519668	0.383546	
3651.521668	0.368878	
3651.523667	0.354548	
3651.525668	0.336803	
3651.527667	0.318503	
3651.529668	0.304552	
3651.531668	0.282846	
3651.533669	0.264482	
3651.537668	0.249215	
3651.539668	0.216930	
3651.541668	0.204362	
3651.543667	0.187522	
3651.545668	0.166633	
3651.547668	0.147435	
3651.551667	0.129164	
3651.553668	0.086162	
3651.555670	0.063609	
3651.559668	0.042557	
3651.561668	-0.001812	
3651.563668	-0.019750	
3651.565668	-0.046764	
3651.567668	-0.071737	
3651.571667	-0.087526	
3651.573668	-0.148038	
3651.577668	-0.173838	
3651.579667	-0.220184	
3651.581668	-0.242524	
3651.583668	-0.268675	
3651.585668	-0.292658	
3651.589667	-0.316051	
3651.591668	-0.374470	
3651.593669	-0.398549	
3651.597668	-0.424371	
3651.599669	-0.456766	
3651.601668	-0.477940	
3651.603668	-0.497038	
3651.605668	-0.519092	
3651.607668	-0.539287	
3651.611667	-0.562992	
3651.615668	-0.603349	
3651.617668	-0.630512	
3651.619668	-0.637651	
3651.621669	-0.655020	
3651.623668	-0.668357	
3651.627667	-0.679111	
3651.629668	-0.709059	
3651.631667	-0.716303	
3651.633668	-0.723309	
3651.635671	-0.726696	
3651.637668	-0.727670	
3651.639668	-0.732454	
3651.641668	-0.737616	
3651.643668	-0.741033	
3651.645668	-0.746112	
3651.647667	-0.753644	
3651.649669	-0.755737	
3651.653669	-0.757104	
3651.655670	-0.754364	
3651.657668	-0.750161	
3651.659668	-0.746997	
3651.661669	-0.753681	
3651.663668	-0.750344	
3651.667667	-0.747002	
3651.669668	-0.746965	
3651.671668	-0.748786	
3651.675668	-0.746615	
3651.677667	-0.739589	
3651.679667	-0.736873	
3651.681668	-0.734532	
3651.683668	-0.730215	
3651.685667	-0.725662	
3651.689668	-0.726636	
3651.693670	-0.725589	
3651.695668	-0.713893	
3651.697668	-0.707493	
3651.699668	-0.703208	
3651.701668	-0.699279	
3651.705667	-0.689546	
3651.707668	-0.688876	
3651.709668	-0.683688	
3651.711668	-0.681737	
3651.713668	-0.668872	
3651.715669	-0.659792	
3651.717667	-0.654385	
3651.719668	-0.641015	
3651.721669	-0.635853	
3651.723668	-0.627148	
3651.725668	-0.626490	
3651.727670	-0.621663	
3651.729667	-0.612099	
3651.733668	-0.603043	
3651.735668	-0.575991	
3651.737668	-0.565278	
3651.739668	-0.556498	
3651.741668	-0.546690	
3651.745667	-0.536656	
3651.747668	-0.523989	
3651.749668	-0.514745	
3651.753668	-0.503921	
3651.755667	-0.476137	
3651.757669	-0.464418	
3651.759668	-0.456037	
3651.761668	-0.451593	
3651.765668	-0.439265	
3651.767667	-0.431898	
3651.771668	-0.419663	
